Marca,Model,Anul,Kilometrajul,Capacitatea motorului,Tipul de combustibil,Preț
BMW,BMW X1 xDrive18d,2013,174 500 km,1 995 cm3,Diesel,11 890
BMW,BMW X1,2010,239 000 km,1 995 cm3,Diesel,7 499
BMW,BMW X6 M,2020,43 500 km,2 993 cm3,Diesel,77 350
BMW,BMW X5 xDrive30d,2020,89 407 km,2 993 cm3,Diesel,59 000
BMW,BMW XM,2023,1 800 km,4 395 cm3,Hibrid,164 989
BMW,BMW 5,2020,131 800 km,1 998 cm3,Hibrid Plug-In,32 725
BMW,BMW 7,2017,66 000 km,4 395 cm3,Benzina,41 899
BMW,BMW 3,2015,220 000 km,1 995 cm3,Diesel,14 399
BMW,BMW 4,2015,253 275 km,2 993 cm3,Diesel,16 299
BMW,BMW 8,2020,77 173 km,2 993 cm3,Diesel,58 893
BMW,BMW 7,2019,164 000 km,2 998 cm3,Benzina,60 900
BMW,BMW X4 xDrive20d,2017,166 800 km,1 995 cm3,Diesel,26 970
BMW,BMW 5,2016,192 000 km,1 995 cm3,Diesel,18 500
BMW,BMW X5 xDrive30d,2019,130 000 km,2 993 cm3,Diesel,51 961
BMW,BMW X1 xDrive18d,2017,55 000 km,1 995 cm3,Diesel,20 490
BMW,BMW 5,2019,114 000 km,1 998 cm3,Hibrid Plug-In,28 203
BMW,BMW 3,2017,212 000 km,1 995 cm3,Diesel,16 000
BMW,BMW X1,2012,188 109 km,1 995 cm3,Diesel,11 750
BMW,BMW 5,2012,259 000 km,1 995 cm3,Diesel,12 900
BMW,BMW 3,2012,245 000 km,1 995 cm3,Diesel,12 000
BMW,BMW 3,2012,228 377 km,1 995 cm3,Diesel,11 949
BMW,BMW 5,2012,226 000 km,2 993 cm3,Diesel,15 300
BMW,BMW 3,2016,191 007 km,2 993 cm3,Diesel,18 500
BMW,BMW X5 xDrive30d,2016,109 000 km,2 993 cm3,Diesel,34 999
BMW,BMW 3,2019,92 000 km,1 995 cm3,Diesel,28 450
BMW,BMW 3,2010,234 000 km,1 995 cm3,Diesel,6 900
BMW,BMW X4 X4M,2019,58 000 km,2 993 cm3,Benzina,62 475
BMW,BMW 2,2017,203 000 km,1 496 cm3,Diesel,11 781
BMW,BMW 6,2013,145 000 km,2 993 cm3,Diesel,18 800
BMW,BMW 5,2018,85 000 km,2 993 cm3,Diesel,39 270
BMW,BMW 5,2015,200 000 km,1 995 cm3,Diesel,14 900
BMW,BMW X3 xDrive30e,2020,49 999 km,1 998 cm3,Hibrid Plug-In,34 999
BMW,BMW X3 xDrive30i,2022,37 400 km,1 998 cm3,Benzina,40 936
BMW,BMW X1,2022,23 000 km,1 995 cm3,Diesel,46 900
BMW,BMW 5,2013,132 050 km,2 979 cm3,Hibrid,19 999
BMW,BMW X6 xDrive40d,2015,213 500 km,2 993 cm3,Diesel,27 300
BMW,BMW 3,2010,268 088 km,1 995 cm3,Diesel,4 999
BMW,BMW 7,2018,118 000 km,2 993 cm3,Diesel,41 990
BMW,BMW X3,2017,135 000 km,1 998 cm3,Benzina,21 500
BMW,BMW 1,2019,47 000 km,1 499 cm3,Benzina,17 699
BMW,BMW 7,2016,197 000 km,2 993 cm3,Diesel,33 990
BMW,BMW 3,2009,355 122 km,1 995 cm3,Diesel,4 750
BMW,BMW X4 xDrive30d,2015,309 300 km,2 993 cm3,Diesel,19 990
BMW,BMW X3 xDrive20d,2013,258 000 km,1 995 cm3,Diesel,14 290
BMW,BMW 5,2014,160 000 km,2 993 cm3,Diesel,19 999
BMW,BMW X5 xDrive40d,2015,183 000 km,2 993 cm3,Diesel,24 500
BMW,BMW X3 xDrive20d,2013,142 000 km,1 995 cm3,Diesel,14 800
BMW,BMW 5,2019,174 000 km,1 995 cm3,Diesel,24 700
BMW,BMW 4,2015,272 400 km,1 995 cm3,Diesel,13 990
BMW,BMW 1,2005,291 500 km,1 995 cm3,Diesel,1 950
BMW,BMW 3,2010,197 000 km,1 995 cm3,Diesel,6 999
BMW,BMW 5,2018,133 000 km,1 998 cm3,Benzina,34 899
BMW,BMW Z4,2020,31 833 km,1 998 cm3,Benzina,47 300
BMW,BMW X3 xDrive20i,2023,13 000 km,1 998 cm3,Benzina,54 145
BMW,BMW 3,2018,198 000 km,1 998 cm3,Hibrid,17 979
BMW,BMW 6,2016,199 000 km,2 993 cm3,Diesel,24 480
BMW,BMW 7,2019,129 550 km,2 993 cm3,Diesel,57 400
BMW,BMW X5 xDrive40d,2016,254 500 km,2 993 cm3,Diesel,23 990
